objectid,col_name,col_uid,st_name,st_abb,cnty_name,datasource,src_name,alt_name,alt_name2,alt_name3,mnumber,color_clas,tot_prisco,rec_complt,numlots,numoccupie,estimatedp,wtr_srcdes,wtr_hauled,priv_wells,wc_exists,wc_wtrcomm,dwuid,wc_nearwcom,dwuid_near,os_otrsupp,is_srcadeq,wc_adeq,wc_adeqdes,wc_hlth,wc_hlthdes,ww_public,ww_wwcomm,wwuid,ww_nearwwcom,wwuid_near,ww_prvser,ww_prvnm,ww_other,ww_adeq,ww_adeqdes,ww_hlth,ww_hlthdes,ppl_nowat,ppl_nowat_r,ppl_noww,ppl_noww_r,ppl_yeswat,ppl_yeswat_r,ppl_yesww,ppl_yesww_r,allpotable,infloodp,fac_propos,fac_type,fac_cst,fac_avgcst,fac_capcst,fac_comcap,fac_ta,fac_tades,fac_feasib,con_last,con_first,con_type,con_title,con_org,con_email,con_add,con_city,con_state,con_zip,con_phone,con_mobile,con_notes,con_last2,con_first2,con_type2,con_title2,con_org2,con_email2,con_add2,con_city2,con_state2,con_zip2,con_phone2,con_mobil2,con_notes2,created_user,created_date,last_edited_user,last_edited_date,fy2018_project,fy2019_project,fy2020_project,fy2021_project,fy2022_project,Unnamed: 98,Unnamed: 99
41,Dwyer,P1R350035,New Mexico,NM,Grant,HUD,Dwyer,,,,,Purple,2,Y,0,21,67,Private Wells,N,Y,N,,,,,,N,N,,N,,N,,,,,N,,Individual Septic Tanks,Y,,N,,67,1,67,1,0,0,0,0,N,N,New water source and new distribution system.,Water,200000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Fierro,P1R350039,New Mexico,NM,Grant,HUD,Fierro,,,,,Purple,2,Y,0,4,16,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Individual septic tank systems,Y,,N,,16,1,16,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Turnerville,P1R350085,New Mexico,NM,Grant,HUD,Turnerville,,,,,Purple,2,Y,0,23,46,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Individual septic systems,Y,,N,,46,1,46,1,0,0,0,0,N,N,New water source and new distribution system.,Water,100000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,White Signal,P1R350088,New Mexico,NM,Grant,HUD,White Signal,,,,,Purple,2,Y,0,72,181,Private Wells,N,Y,N,,,,,,Y,N,,N,,N,,,,,N,,Individual septic systems,Y,,N,,181,1,181,1,0,0,0,0,N,N,New water source and new distribution system.,Water,440000,  ,,"Local community is lacking in financial, managerial, and technical capacity.",Y,"Financial, managerial, technical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Cliff,P1R350031,New Mexico,NM,Grant,HUD,Cliff,,,,,Red,1,Y,0,117,293,Private Wells,N,Y,N,,,,,,N,N,,N,,N,,,,,N,,Cesspools and septic sysems,N,The cesspools represent a health concern because they are not maintained,N,,293,1,293,1,0,0,0,0,N,N,Community has no safe drinking water source and/or wastewater services,Combination,2925000," $15,000 WW $10,000 W ",state avg,,Y,Project Development, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gila,P1R350042,New Mexico,NM,Grant,HUD,Gila,,,,,Red,1,Y,0,125,314,Private Wells,N,Y,N,,,,,,N,N,,N,,N,,,,,N,,Area served by individual cesspools and septic systems,N,Area served by individual cesspools and septic systems,N,,314,1,314,1,0,0,0,0,N,N,Community has no safe drinking water source and/or wastewater services,Combination,3125000," $15,000 WW $10,000 W ",state avg,,Y,Project Development, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,La Donna,P1R480888,Texas,TX,Hidalgo,Colonia does not Exist,Colonia does not Exist,,,,M1080936,,99,Y,0,0,232,,N,N,N,,,,,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,GONZALEZ,JONAS,City,WATER / WASTEWATER LIASISON,CITY OF DONNA,jgonzalez@cityofdonna.org,114 S. 13TH ST.,DONNA,TX,78537,(956) 464-7861,,Question on what area this La Donna colonia refers to. HCAD shows La Donna Subd as large are S of Donna with 601 properties--but larger than one distinct community.,GONZALEZ,JONAS,City,WATER / WASTEWATER LIASISON,CITY OF DONNA,jgonzalez@cityofdonna.org,114 S. 13TH ST.,DONNA,TX,78537,(956) 464-7861,,,,,,,,,,,,,
87,Vista Montana,P1R480457,Texas,TX,El Paso,HUD,Vista Montana,,,,M0710301,Gray,5,Y,0,0,32,,N,N,N,,,EAST MONTANA WATER SYSTEM,DW088,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,ALSARRAJ,MUNZER,Utility,INFRASTRUCTURE PROGRAM MANAGER,"COUNTY OF EL PASO, PUBLIC WORKS",,800 E OVERLAND STE. 200,EL PASO,TX,79901,(915) 543-3845,,"HUD point is E of Flamingo Addition on Barlow St--looks commercial/no residential. Confirm ECAD site subdivision. OR is this supposed to be the greater ""Montana Vista"" AREA?",,,,,,,,,,,,,,,,,,,,,,,,
88,E & L,P1R480256,Texas,TX,El Paso,HUD,E & L,,,,M0710302,Gray,5,Y,0,0,0,,N,N,N,,,EAST MONTANA WATER SYSTEM,DW088,,N,N,,N,,N,,,,,N,,,N,,N,,0,0,0,0,0,0,0,0,N,N,,,0,  ,,,N,, ,ALSARRAJ,MUNZER,Utility,INFRASTRUCTURE PROGRAM MANAGER,"COUNTY OF EL PASO, PUBLIC WORKS",,800 E OVERLAND STE. 200,EL PASO,TX,79901,(915) 543-3845,,Point is W of East Wind Estates--appears vacant check ECAD SUBD Location to confirm. Krag St,,,,,,,,,,,,,,,,,,,,,,,,
91,Santa Rita,P1R350079,New Mexico,NM,Grant,HUD,Santa Rita,,,,,Red,1,Y,0,30,75,Hauling,Y,N,N,,,,,,N,N,The mine wants to end the source of water and wants the resident to establish their own drinking water source or to connect to Hanover.,N,,N,,,,,N,,Individual septic systems,N,,N,,75,1,75,1,0,0,0,0,N,N,Community members haul water from the Freeport mine site. There's no wastewater system.,Water,500000," $15,000 WW $10,000 W ",state avg,,Y,Project Development,very small customer base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
