objectid,col_name,col_uid,st_name,st_abb,cnty_name,datasource,src_name,alt_name,alt_name2,alt_name3,mnumber,color_clas,tot_prisco,rec_complt,numlots,numoccupie,estimatedp,wtr_srcdes,wtr_hauled,priv_wells,wc_exists,wc_wtrcomm,dwuid,wc_nearwcom,dwuid_near,os_otrsupp,is_srcadeq,wc_adeq,wc_adeqdes,wc_hlth,wc_hlthdes,ww_public,ww_wwcomm,wwuid,ww_nearwwcom,wwuid_near,ww_prvser,ww_prvnm,ww_other,ww_adeq,ww_adeqdes,ww_hlth,ww_hlthdes,ppl_nowat,ppl_nowat_r,ppl_noww,ppl_noww_r,ppl_yeswat,ppl_yeswat_r,ppl_yesww,ppl_yesww_r,allpotable,infloodp,fac_propos,fac_type,fac_cst,fac_avgcst,fac_capcst,fac_comcap,fac_ta,fac_tades,fac_feasib,con_last,con_first,con_type,con_title,con_org,con_email,con_add,con_city,con_state,con_zip,con_phone,con_mobile,con_notes,con_last2,con_first2,con_type2,con_title2,con_org2,con_email2,con_add2,con_city2,con_state2,con_zip2,con_phone2,con_mobil2,con_notes2,created_user,created_date,last_edited_user,last_edited_date,fy2018_project,fy2019_project,fy2020_project,fy2021_project,fy2022_project,Unnamed: 98,Unnamed: 99
1,Alverez (sdn),P1R480516,Texas,TX,Hidalgo,HUD,Alverez (sdn),Alvarez (sdn),,,M1080853,Blue,4,Y,0,42,157,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,onsite,Y,,N,,0,0,157,1,157,1,0,0,Y,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,RUBIO,OSCAR,Utility,WASTEWATER MANAGER,NORTH ALAMO WSC,orubio@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1618,,,,,,,,,,,,,
2,Resub Plat of Jimenez Subd,P1R481167,Texas,TX,Hidalgo,HUD,Resub Plat of Jimenez Subd,,,,M1080911,Purple,2,Y,29,24,72,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,N,"Lots <1/2 ac, dense",N,,0,0,72,1,72,1,0,0,Y,Y,First time wastewater--future phases to north of Palmview area,Wastewater,93615989,  ,,See Utility Capacity,Y,T/A subject to USDA Funding Application, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,"Source for project cost is SFY 2015 CWSRF IUP, $30m WWTP expansion, $63m collection",,,,,,,,,,,,,,,,,,,,,,,,
3,Sprong Green Subdivision,P1R481256,Texas,TX,Hidalgo,HUD,Sprong Green Subdivision,Spring Green Subdvision,,,M1080939,Blue,4,Y,0,42,147,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,CITY OF EDINBURG,WW087,N,,,Y,,N,,0,0,147,1,147,1,0,0,N,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,MARTINEZ,ARTURO,Utility,DIRECTOR OF PUBLIC WORKS,CITY OF EDINBURG,amartinez@cityofedinburg.com,415 W. UNIVERSITY DRIVE,EDINBURG,TX,78541,(956) 388-8212,,,,,,,,,,,,,
4,Goodwin Acres #2,P1R480797,Texas,TX,Hidalgo,HUD,Goodwin Acres #2,,,,M1080873,Blue,4,Y,36,34,86,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,Y,,N,,0,0,86,1,86,1,0,0,Y,N,,,0,  ,,,N,, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Goodwin West Subd #1,P1R480799,Texas,TX,Hidalgo,HUD,Goodwin West Subd #1,,,,M1080874,Blue,4,Y,11,11,41,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,Y,,N,,0,0,41,1,41,1,0,0,Y,N,,,0,  ,,,N,, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Goodwin West Subd #2,P1R480800,Texas,TX,Hidalgo,HUD,Goodwin West Subd #2,,,,M1080875,Blue,4,Y,6,6,18,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,Y,,N,,0,0,18,1,18,1,0,0,Y,N,,,0,  ,,,N,, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Goodwin West Subd #3,P1R480801,Texas,TX,Hidalgo,HUD,Goodwin West Subd #3,,,,M1080876,Blue,4,Y,40,38,114,Public Water System,N,N,Y,AGUA SUD,DW002,,,,Y,Y,,N,,N,,,AGUA SUD,WW083,N,,,Y,,N,,0,0,114,1,114,1,0,0,Y,N,,,0,  ,,,N,, ,PEREZ,PAMELA,Utility,CUSTOMER SERVICE SUPERVISOR,AGUA SUD,pperez@aguasud.com,3126 N ABRAM RD.,PALMVIEW,TX,78578,(956) 585-2465,,,,,,,,,,,,,,,,,,,,,,,,,,
8,GREEN VALLEY ACRES,P1R480805,Texas,TX,Hidalgo,HUD,GREEN VALLEY ACRES,,,,M1080877,Blue,4,Y,19,15,36,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,36,1,36,1,0,0,Y,N,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Hoehn Drive (Unrecorded),P1R480841,Texas,TX,Hidalgo,HUD,Hoehn Drive (Unrecorded),,,,M1080880,Blue,4,Y,13,13,39,Public Water System,N,N,Y,SHARYLAND WSC,DW209,,,,Y,Y,,N,,N,,,CITY OF MCALLEN,WW091,N,,,Y,,N,,0,0,39,1,39,1,0,0,Y,N,,,0,  ,,,N,, ,DAHLBERG,SHERILYN,Utility,GENERAL MANAGER,SHARYLAND WSC,swscsheri@aol.com,PO BOX 1868,MISSION,TX,78573,(956) 585-6081,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Laborsita,P1R480920,Texas,TX,Hidalgo,HUD,Laborsita,,,,M1080886,Blue,4,Y,12,12,32,Public Water System,N,N,Y,NORTH ALAMO WSC,DW160,,,,Y,Y,,N,,N,,,NORTH ALAMO WSC,WW099,N,,,Y,,N,,0,0,32,1,32,1,0,0,Y,Y,,,0,  ,,,N,, ,AGUIRRE,JESSE,Utility,ASSISTANT GENERAL MANAGER,NORTH ALAMO WSC,jaguirre@nawsc.com,420 S. DOOLITTLE RD.,EDINBURG,TX,78542,(956) 383-1623,,,,,,,,,,,,,,,,,,,,,,,,,,
