Damping,Iteration,n_clusters,Sscore
0.5,200,11,0.43082762
0.5,250,112,0.28626224
0.5,300,59,0.28480664
0.5,350,68,0.4302451
0.5,400,116,0.28634334
0.5,450,59,0.28480664
0.5,500,111,0.28619343
0.5,550,116,0.28634334
0.5,600,116,0.28634334
0.5,650,11,0.43082762
0.5,700,59,0.28480664
0.5,750,66,0.43016735
0.5,800,116,0.28634334
0.5,850,59,0.28480664
0.5,900,68,0.4302451
0.5,950,11,0.43082762
0.5,1000,68,0.4302451
0.6,200,60,0.4466615
0.6,250,58,0.44657227
0.6,300,60,0.4466615
0.6,350,60,0.4466615
0.6,400,60,0.4466615
0.6,450,59,0.4466154
0.6,500,11,0.6063733
0.6,550,60,0.4466615
0.6,600,57,0.4465864
0.6,650,60,0.4466615
0.6,700,60,0.4466615
0.6,750,58,0.4466142
0.6,800,60,0.4466615
0.6,850,60,0.4466615
0.6,900,60,0.4466615
0.6,950,59,0.43702045
0.6,1000,50,0.4465946
0.7,200,12,0.57841134
0.7,250,12,0.57841134
0.7,300,12,0.57841134
0.7,350,12,0.57841134
0.7,400,12,0.57841134
0.7,450,12,0.57841134
0.7,500,12,0.57841134
0.7,550,12,0.57841134
0.7,600,12,0.57841134
0.7,650,12,0.57841134
0.7,700,12,0.57841134
0.7,750,12,0.57841134
0.7,800,12,0.57841134
0.7,850,12,0.57841134
0.7,900,12,0.57841134
0.7,950,12,0.57841134
0.7,1000,12,0.57841134
0.8,200,12,0.57841134
0.8,250,12,0.57841134
0.8,300,12,0.57841134
0.8,350,12,0.57841134
0.8,400,12,0.57841134
0.8,450,12,0.57841134
0.8,500,12,0.57841134
0.8,550,12,0.57841134
0.8,600,12,0.57841134
0.8,650,12,0.57841134
0.8,700,12,0.57841134
0.8,750,12,0.57841134
0.8,800,12,0.57841134
0.8,850,12,0.57841134
0.8,900,12,0.57841134
0.8,950,12,0.57841134
0.8,1000,12,0.57841134
0.9,200,11,0.5917159
0.9,250,11,0.5917159
0.9,300,11,0.5917159
0.9,350,11,0.5917159
0.9,400,11,0.5917159
0.9,450,11,0.5917159
0.9,500,11,0.5917159
0.9,550,11,0.5917159
0.9,600,11,0.5917159
0.9,650,11,0.5917159
0.9,700,11,0.5917159
0.9,750,11,0.5917159
0.9,800,11,0.5917159
0.9,850,11,0.5917159
0.9,900,11,0.5917159
0.9,950,11,0.5917159
0.9,1000,11,0.5917159
