Damping,Iteration,n_clusters,Sscore
0.5,200,876,0.43687734
0.5,250,869,0.43619883
0.5,300,37,0.8347605
0.5,350,37,0.8347605
0.5,400,162,0.43954504
0.5,450,37,0.8347605
0.5,500,884,0.437121
0.5,550,868,0.4371905
0.5,600,884,0.437121
0.5,650,22,0.8310452
0.5,700,22,0.8310452
0.5,750,22,0.8310452
0.5,800,37,0.8347605
0.5,850,37,0.8347605
0.5,900,37,0.8347605
0.5,950,831,0.4335142
0.5,1000,837,0.4336296
0.6,200,791,0.43102053
0.6,250,824,0.44005
0.6,300,24,0.8435476
0.6,350,24,0.8435476
0.6,400,24,0.8435476
0.6,450,826,0.4399345
0.6,500,24,0.8435476
0.6,550,100,0.4448468
0.6,600,24,0.8435476
0.6,650,814,0.4342264
0.6,700,24,0.8435476
0.6,750,24,0.8435476
0.6,800,24,0.8435476
0.6,850,24,0.8435476
0.6,900,777,0.44016388
0.6,950,24,0.8435476
0.6,1000,24,0.8435476
0.7,200,24,0.8435476
0.7,250,24,0.8435476
0.7,300,24,0.8435476
0.7,350,777,0.44002402
0.7,400,666,0.4397603
0.7,450,774,0.4400342
0.7,500,24,0.8435476
0.7,550,24,0.8435476
0.7,600,24,0.8435476
0.7,650,24,0.8435476
0.7,700,809,0.4397382
0.7,750,24,0.8435476
0.7,800,818,0.43964812
0.7,850,792,0.43984973
0.7,900,24,0.8435476
0.7,950,791,0.43151063
0.7,1000,24,0.8435476
0.8,200,721,0.42980173
0.8,250,1224,0.023165086
0.8,300,569,0.4256739
0.8,350,315,0.42405364
0.8,400,1333,0.023220615
0.8,450,24,0.8435476
0.8,500,24,0.8435476
0.8,550,647,0.42963204
0.8,600,781,0.43997318
0.8,650,783,0.4397591
0.8,700,25,0.662817
0.8,750,486,0.43305346
0.8,800,999,0.016430233
0.8,850,560,0.4256678
0.8,900,503,0.43294612
0.8,950,305,0.4310451
0.8,1000,24,0.8435476
0.9,200,23,0.83953947
0.9,250,23,0.83953947
0.9,300,23,0.83953947
0.9,350,23,0.83953947
0.9,400,23,0.83953947
0.9,450,23,0.83953947
0.9,500,23,0.83953947
0.9,550,23,0.83953947
0.9,600,23,0.83953947
0.9,650,23,0.83953947
0.9,700,23,0.83953947
0.9,750,23,0.83953947
0.9,800,23,0.83953947
0.9,850,23,0.83953947
0.9,900,23,0.83953947
0.9,950,23,0.83953947
0.9,1000,23,0.83953947
